나이,성별,스타일,일 평균 기온,일 평균 기상,일 평균 습도,일 평균 풍속,상의 색상,상의 프린트,상의 소재,상의 기장,상의 카테고리,하의 색상,하의 프린트,하의 소재,하의 기장,하의 카테고리
40대,남성,컨트리,22,눈,80,5,브라운,믹스,저지,노멀,브라탑,그린,페이즐리,저지,노멀,스커트
20대,여성,모던,19,맑음,20,4,그린,아가일,무스탕,니렝스,탑,오렌지,체크,무스탕,니렝스,청바지
50대,남성,섹시,28,맑음,50,3,레드,호피,퍼,미디,후드티,그린,도트,퍼,미디,스커트
30대,여성,힙합,18,구름,60,2,실버,지그재그,스웨이드,니렝스,브라탑,그린,무지,스웨이드,니렝스,스커트
40대,남성,페미닌,23,맑음,80,1,카키,무지,스웨이드,캡,티셔츠,화이트,도트,스웨이드,캡,팬츠
50대,여성,클래식,15,구름,20,1,실버,무지,무스탕,7부소매,니트웨어,핑크,믹스,무스탕,7부소매,팬츠
30대,남성,오리엔탈,16,눈,40,1,베이지,아가일,스판덱스,미니,브라탑,그레이,스트라이프,스판덱스,미니,레깅스
20대,여성,스포티,18,눈,80,4,그레이,호피,퍼,크롭,티셔츠,핑크,체크,퍼,크롭,레깅스
40대,여성,페미닌,24,비,30,2,브라운,아가일,헤어니트,맥시,후드티,실버,지그재그,헤어니트,맥시,팬츠
20대,남성,로맨틱,17,구름,40,3,그린,페이즐리,퍼,롱,니트웨어,옐로우,스트라이프,퍼,롱,팬츠
30대,여성,밀리터리,17,눈,40,3,브라운,페이즐리,헤어니트,긴팔,셔츠,그레이,스트라이프,헤어니트,긴팔,청바지
40대,여성,페미닌,15,맑음,90,5,그린,지그재그,퍼,니렝스,니트웨어,실버,믹스,퍼,니렝스,스커트
50대,여성,스포티,16,눈,80,3,카키,스트라이프,저지,미디,후드티,그레이,믹스,저지,미디,팬츠
30대,여성,매니시,30,맑음,80,3,실버,믹스,스판덱스,노멀,탑,그린,아가일,스판덱스,노멀,스커트
20대,여성,키치/키덜트,20,눈,20,2,브라운,무지,니트,긴팔,후드티,레드,지브라,니트,긴팔,레깅스
30대,여성,레트로,20,비,20,4,베이지,호피,스웨이드,긴팔,니트웨어,그레이,도트,스웨이드,긴팔,조거팬츠
20대,여성,섹시,23,구름,80,4,브라운,체크,시퀸,미디,브라탑,옐로우,지그재그,시퀸,미디,청바지
20대,남성,프레피,30,눈,20,1,카키,지브라,저지,긴팔,후드티,실버,지그재그,저지,긴팔,청바지
20대,남성,웨스턴,27,구름,70,2,오렌지,도트,헤어니트,니렝스,티셔츠,레드,아가일,헤어니트,니렝스,조거팬츠
20대,여성,페미닌,16,눈,60,1,옐로우,체크,무스탕,크롭,셔츠,오렌지,카무플라쥬,무스탕,크롭,청바지
50대,남성,밀리터리,17,맑음,40,1,화이트,지브라,스웨이드,발목,티셔츠,그레이,페이즐리,스웨이드,발목,팬츠
40대,여성,리조트,19,눈,50,3,브라운,아가일,스웨이드,니렝스,후드티,블랙,호피,스웨이드,니렝스,팬츠
20대,여성,페미닌,22,비,90,4,베이지,스트라이프,코듀로이,노멀,셔츠,브라운,믹스,코듀로이,노멀,청바지
20대,남성,매니시,29,맑음,30,2,레드,아가일,스웨이드,롱,티셔츠,옐로우,호피,스웨이드,롱,팬츠
30대,여성,레트로,28,구름,70,3,그레이,아가일,스판덱스,노멀,셔츠,실버,체크,스판덱스,노멀,팬츠
30대,여성,컨트리,28,눈,90,1,옐로우,호피,코듀로이,미니,브라탑,블랙,아가일,코듀로이,미니,스커트
30대,남성,스트리트,23,눈,80,2,브라운,지브라,니트,민소매,셔츠,그레이,무지,니트,민소매,조거팬츠
20대,여성,힙합,18,맑음,20,2,레드,무지,데님,긴팔,니트웨어,그레이,체크,데님,긴팔,조거팬츠
40대,남성,웨스턴,29,구름,50,5,베이지,도트,시퀸,7부소매,탑,옐로우,지브라,시퀸,7부소매,팬츠
20대,남성,페미닌,23,눈,10,4,핑크,무지,데님,캡,셔츠,옐로우,호피,데님,캡,팬츠
40대,남성,아방가르드,23,구름,90,2,블랙,체크,무스탕,캡,블라우스,화이트,믹스,무스탕,캡,스커트
40대,여성,모던,24,맑음,70,5,카키,지브라,코듀로이,노멀,셔츠,옐로우,카무플라쥬,코듀로이,노멀,스커트
40대,남성,아방가르드,21,구름,40,3,화이트,페이즐리,헤어니트,롱,탑,브라운,믹스,헤어니트,롱,스커트
30대,남성,아방가르드,17,눈,90,5,옐로우,호피,스웨이드,롱,블라우스,오렌지,지브라,스웨이드,롱,레깅스
20대,여성,소피스트,23,맑음,70,4,오렌지,지브라,저지,노멀,탑,블랙,도트,저지,노멀,팬츠
40대,여성,모던,28,맑음,40,1,실버,아가일,무스탕,미니,셔츠,그린,호피,무스탕,미니,스커트
50대,여성,키치/키덜트,17,눈,70,2,베이지,체크,니트,롱,티셔츠,오렌지,지그재그,니트,롱,청바지
20대,남성,오리엔탈,23,비,90,5,화이트,체크,스판덱스,노멀,티셔츠,카키,카무플라쥬,스판덱스,노멀,조거팬츠
20대,여성,스포티,17,눈,20,4,화이트,페이즐리,헤어니트,미디,셔츠,레드,믹스,헤어니트,미디,스커트
50대,여성,히피,23,눈,90,4,그린,지그재그,저지,긴팔,브라탑,카키,아가일,저지,긴팔,청바지
20대,남성,밀리터리,20,구름,10,4,실버,도트,헤어니트,미디,블라우스,블랙,스트라이프,헤어니트,미디,스커트
40대,여성,히피,26,눈,20,1,핑크,페이즐리,퍼,맥시,블라우스,옐로우,스트라이프,퍼,맥시,스커트
20대,여성,스트리트,27,구름,40,3,레드,아가일,저지,발목,블라우스,그레이,체크,저지,발목,스커트
50대,여성,키치/키덜트,25,비,50,1,화이트,체크,니트,노멀,탑,카키,호피,니트,노멀,청바지
30대,여성,밀리터리,26,비,10,3,블랙,체크,퍼,맥시,브라탑,옐로우,믹스,퍼,맥시,스커트
40대,여성,스포티,26,눈,60,1,블랙,도트,니트,맥시,탑,레드,지그재그,니트,맥시,조거팬츠
30대,여성,페미닌,29,맑음,70,2,실버,호피,헤어니트,맥시,블라우스,핑크,지그재그,헤어니트,맥시,팬츠
50대,여성,프레피,27,맑음,50,4,그레이,지그재그,무스탕,7부소매,탑,베이지,무지,무스탕,7부소매,스커트
40대,여성,아방가르드,30,눈,60,5,그린,지그재그,저지,긴팔,니트웨어,옐로우,카무플라쥬,저지,긴팔,조거팬츠
40대,여성,페미닌,16,맑음,60,5,브라운,페이즐리,스판덱스,미디,니트웨어,그린,체크,스판덱스,미디,레깅스
50대,남성,프레피,25,맑음,20,2,그레이,체크,니트,롱,후드티,화이트,카무플라쥬,니트,롱,스커트
20대,여성,아방가르드,24,비,40,2,화이트,스트라이프,무스탕,맥시,후드티,옐로우,아가일,무스탕,맥시,청바지
20대,남성,컨트리,18,비,50,4,오렌지,스트라이프,코듀로이,크롭,니트웨어,핑크,지그재그,코듀로이,크롭,조거팬츠
30대,여성,힙합,23,비,70,2,레드,도트,스판덱스,크롭,탑,오렌지,지브라,스판덱스,크롭,스커트
40대,여성,페미닌,29,구름,20,3,브라운,카무플라쥬,니트,노멀,탑,그레이,믹스,니트,노멀,조거팬츠
40대,여성,키치/키덜트,21,맑음,90,2,블랙,스트라이프,스웨이드,민소매,니트웨어,실버,지그재그,스웨이드,민소매,청바지
20대,남성,웨스턴,21,구름,50,4,그레이,카무플라쥬,니트,캡,후드티,블랙,무지,니트,캡,청바지
40대,여성,리조트,23,맑음,40,5,실버,체크,퍼,발목,탑,그레이,지그재그,퍼,발목,조거팬츠
50대,여성,밀리터리,18,눈,30,2,블랙,지그재그,코듀로이,니렝스,니트웨어,핑크,체크,코듀로이,니렝스,조거팬츠
40대,남성,젠더리스,18,구름,70,2,핑크,믹스,시퀸,니렝스,탑,옐로우,지브라,시퀸,니렝스,청바지
20대,여성,밀리터리,19,비,40,2,베이지,페이즐리,데님,미디,후드티,핑크,아가일,데님,미디,청바지
30대,남성,컨트리,23,구름,10,1,실버,페이즐리,스웨이드,노멀,니트웨어,베이지,호피,스웨이드,노멀,팬츠
40대,남성,소피스트,29,구름,40,2,블랙,무지,무스탕,미디,후드티,레드,스트라이프,무스탕,미디,청바지
40대,여성,힙합,23,맑음,90,5,블랙,페이즐리,코듀로이,니렝스,브라탑,실버,호피,코듀로이,니렝스,팬츠
20대,여성,소피스트,22,구름,60,5,핑크,도트,스웨이드,긴팔,티셔츠,레드,지브라,스웨이드,긴팔,청바지
20대,여성,페미닌,23,눈,90,3,그린,도트,니트,발목,셔츠,브라운,아가일,니트,발목,스커트
40대,남성,레트로,20,비,70,3,카키,아가일,퍼,반팔,니트웨어,옐로우,호피,퍼,반팔,청바지
20대,여성,힙합,28,구름,40,1,옐로우,지브라,무스탕,니렝스,블라우스,화이트,체크,무스탕,니렝스,청바지
50대,남성,소피스트,20,눈,40,3,블랙,체크,시퀸,반팔,후드티,핑크,스트라이프,시퀸,반팔,레깅스
30대,남성,웨스턴,19,눈,90,5,실버,스트라이프,시퀸,긴팔,후드티,블랙,지브라,시퀸,긴팔,스커트
40대,여성,젠더리스,29,눈,90,4,오렌지,체크,니트,크롭,니트웨어,화이트,지그재그,니트,크롭,팬츠
30대,남성,아방가르드,26,눈,10,1,카키,도트,무스탕,반팔,블라우스,브라운,체크,무스탕,반팔,스커트
40대,여성,프레피,19,눈,80,5,옐로우,지그재그,데님,노멀,셔츠,그린,페이즐리,데님,노멀,팬츠
50대,남성,힙합,22,구름,60,1,그린,카무플라쥬,저지,7부소매,티셔츠,실버,지그재그,저지,7부소매,청바지
40대,남성,컨트리,24,눈,30,3,옐로우,아가일,니트,민소매,브라탑,그레이,스트라이프,니트,민소매,팬츠
20대,여성,클래식,29,눈,30,1,카키,아가일,데님,롱,블라우스,그레이,지브라,데님,롱,레깅스
20대,여성,웨스턴,17,구름,70,4,실버,무지,스웨이드,반팔,탑,베이지,카무플라쥬,스웨이드,반팔,팬츠
40대,여성,리조트,18,눈,90,4,옐로우,스트라이프,시퀸,반팔,후드티,그레이,호피,시퀸,반팔,레깅스
30대,여성,레트로,20,눈,10,2,실버,지그재그,헤어니트,롱,블라우스,브라운,무지,헤어니트,롱,조거팬츠
40대,남성,레트로,29,눈,20,5,옐로우,지브라,헤어니트,니렝스,후드티,화이트,스트라이프,헤어니트,니렝스,청바지
40대,여성,키치/키덜트,18,비,50,4,옐로우,아가일,시퀸,니렝스,브라탑,그레이,지브라,시퀸,니렝스,청바지
50대,여성,모던,29,눈,80,5,그린,아가일,데님,크롭,탑,카키,호피,데님,크롭,레깅스
20대,여성,아방가르드,27,구름,70,3,레드,스트라이프,스웨이드,미디,브라탑,실버,체크,스웨이드,미디,팬츠
40대,여성,프레피,21,눈,70,1,그린,체크,저지,노멀,니트웨어,그레이,카무플라쥬,저지,노멀,스커트
20대,남성,젠더리스,29,눈,50,4,화이트,지그재그,스웨이드,미디,티셔츠,그레이,믹스,스웨이드,미디,조거팬츠
40대,남성,프레피,28,구름,30,2,그린,도트,스판덱스,긴팔,후드티,베이지,믹스,스판덱스,긴팔,팬츠
50대,여성,소피스트,20,맑음,90,4,블랙,체크,스판덱스,크롭,니트웨어,브라운,지브라,스판덱스,크롭,팬츠
30대,여성,매니시,27,비,80,5,브라운,체크,스판덱스,캡,브라탑,레드,믹스,스판덱스,캡,팬츠
40대,여성,스포티,29,비,40,5,오렌지,체크,무스탕,캡,탑,화이트,호피,무스탕,캡,청바지
30대,여성,히피,24,맑음,50,3,그레이,카무플라쥬,저지,긴팔,브라탑,그린,지브라,저지,긴팔,레깅스
50대,여성,젠더리스,30,맑음,40,4,실버,도트,스판덱스,긴팔,셔츠,그린,페이즐리,스판덱스,긴팔,청바지
40대,여성,스포티,15,구름,80,5,카키,지브라,코듀로이,캡,티셔츠,옐로우,호피,코듀로이,캡,레깅스
20대,여성,톰보이,29,눈,80,2,베이지,호피,스웨이드,맥시,블라우스,핑크,지그재그,스웨이드,맥시,조거팬츠
40대,여성,톰보이,28,비,60,4,옐로우,체크,스판덱스,반팔,후드티,그레이,스트라이프,스판덱스,반팔,청바지
40대,여성,톰보이,22,구름,70,5,베이지,체크,코듀로이,니렝스,티셔츠,핑크,아가일,코듀로이,니렝스,조거팬츠
20대,남성,섹시,17,눈,70,2,실버,무지,저지,롱,브라탑,핑크,카무플라쥬,저지,롱,스커트
20대,여성,레트로,26,비,90,3,옐로우,믹스,헤어니트,민소매,니트웨어,베이지,호피,헤어니트,민소매,스커트
40대,남성,펑크,16,비,40,4,레드,믹스,코듀로이,반팔,브라탑,그린,체크,코듀로이,반팔,팬츠
20대,남성,오리엔탈,28,비,10,1,베이지,체크,저지,롱,블라우스,옐로우,무지,저지,롱,레깅스
20대,여성,힙합,21,구름,80,3,레드,페이즐리,퍼,맥시,니트웨어,옐로우,스트라이프,퍼,맥시,스커트
